"Raw_data_identifier","Year","Month","Day","Time (24h)","T1","T2","T3","Soil_moisture_raw"
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"00:00",11.9375,13.3125,15.1875,2212
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"00:15",11.9375,12.625,12.9375,2211
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"00:30",11.9375,12.25,12.75,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"00:45",11.875,12.1875,12.625,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"01:00",11.875,12,12,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"01:15",11.875,11.5,10.75,2209
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"01:30",11.875,11.125,10.4375,2209
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"01:45",11.875,10.75,10.25,2209
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"02:00",11.8125,10.5,10.375,2209
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"02:15",11.75,10.3125,10,2209
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"02:30",11.75,10.1875,10.25,2209
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"02:45",11.6875,10.125,10.375,2209
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"03:00",11.625,10.125,10.25,2209
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"03:15",11.625,9.9375,8.8125,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"03:30",11.625,9.6875,8.5,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"03:45",11.5625,9.625,8.875,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"04:00",11.5,9.625,8.6875,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"04:15",11.5,9.75,9.375,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"04:30",11.5,9.75,10.625,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"04:45",11.375,9.5,8.25,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"05:00",11.375,8.875,6.75,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"05:15",11.375,8.3125,5.75,2210
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"05:30",11.3125,8.125,5.75,2211
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"05:45",11.25,7.875,5.125,2211
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"06:00",11.25,7.3125,4.4375,2211
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"06:15",11.125,7.125,4.6875,2212
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"06:30",11.125,7.5,5.625,2213
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"06:45",11,7.625,5.5,2213
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"07:00",11,7.375,5.0625,2214
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"07:15",10.9375,7.5,5.75,2214
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"07:30",10.875,7.875,6.6875,2215
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"07:45",10.875,7.8125,5.75,2215
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"08:00",10.8125,7.875,6.375,2215
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"08:15",10.8125,8,6.25,2215
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"08:30",10.75,7.625,5.25,2215
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"08:45",10.75,7.5625,5.625,2216
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"09:00",10.6875,7.75,6,2216
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"09:15",10.625,8,6.5,2217
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"09:30",10.625,8.0625,6.6875,2217
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"09:45",10.625,8.25,7.125,2216
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"10:00",10.5625,8.375,7.25,2217
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"10:15",10.5625,8.375,7.1875,2217
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"10:30",10.5,8.375,7.125,2217
"Enquist_Gradient_PbmNearPhenocamClose",2021,9,1,"10:45",10.5,8.375,7.25,2217
